workflow,quality_level,method,objective_value,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,cvar_value,solver_runtime_sec,status,selected_initializer
workflow2,Q1,murakkab_profile,0.06,2.7303377179167048,578.6727544802427,1437.0611242987225,2251.499669643822,0.06315,226.3273905909247,676.3596264579974,optimal,
workflow2,Q1,single_cloud,0.67492,7.883479053908128,1271.2516581998095,2572.778488641944,3415.230868136928,0.66513,1064.048273561782,42.83550366699637,optimal,
workflow2,Q2,decomposition,inf,4.387162755955233,2255.6539598423788,6460.481893222515,11038.299896686349,0.06637,1277.0119278216816,1943.608028332994,INFEASIBLE,
workflow2,Q2,greedy,0.06147,4.387139314423615,2256.0629004519897,6460.890872240657,11038.708851483269,0.06646,1277.2835496113478,182.02181483300228,optimal,
workflow2,Q2,murakkab_profile,0.0855,11.415729892285867,2670.509129295808,7105.40078633372,11746.330949021982,0.0858,1585.7552733142409,24.203870208002627,optimal,
workflow2,Q2,single_cloud,0.07014,9.878278555434074,2788.67248949275,6831.817368513422,10727.057796586074,0.07357,1165.0892635870805,42.18854733399348,optimal,
workflow2,Q3,decomposition,inf,8.630168627813271,4005.7843098577177,11520.56321590004,19420.955686937097,0.06849,2265.010214547968,1754.948791834002,INFEASIBLE,
workflow2,Q3,greedy,0.06101,8.630168610613747,4004.634529418842,11518.911878239329,19418.999571457178,0.06848,2264.184905518312,180.37191562500084,optimal,
workflow2,Q3,murakkab_profile,0.07048,15.656375858400311,4352.883409471916,11955.760844353088,19768.95673693344,0.07528,2413.676735186167,24.10164637499838,optimal,
workflow2,Q3,single_cloud,0.06227,14.440254715218032,4347.250177188423,11660.04019503845,19077.431043142195,0.0694,2128.31905669198,41.99372458299331,optimal,
workflow1,Q1,decomposition,inf,1.2130559674648498,598.181257188402,1497.5761839275672,2397.297345953193,0.07888,296.83462156526576,190.00833599999896,INFEASIBLE,
workflow1,Q1,greedy,0.07488,1.2130559674648498,598.181257188402,1497.5761839275672,2397.297345953193,0.07888,296.83462156526576,29.448300750009366,optimal,
workflow1,Q1,murakkab_profile,0.06,1.213138502687074,575.7010266447768,1428.9511798008368,2277.162671759861,0.06784,245.72670618414804,59.53527400000894,optimal,
workflow1,Q1,single_cloud,0.68052,1.8431488985310351,1262.9576227921511,2579.632424028839,3463.985022359399,0.67646,1084.575923212332,9.457347374991514,optimal,
workflow1,Q2,decomposition,inf,2.8338120419615933,2304.1140592025663,6687.79038237684,11380.364880108951,0.06676,1422.1882186330215,101.89585516600346,INFEASIBLE,
workflow1,Q2,greedy,0.06134,2.8338120419615933,2304.1140592025663,6687.79038237684,11380.364880108951,0.06676,1422.1882186330215,29.068852500000503,optimal,
workflow1,Q2,murakkab_profile,0.08506,9.969290947283524,2724.75532833955,7332.87590705352,12055.088558196789,0.08538,1751.9925363338743,6.061941666994244,optimal,
workflow1,Q2,single_cloud,0.06962,3.45763853045911,2842.5361017516184,7037.060175845236,10978.90254602958,0.07326,1291.1307059280352,9.312908291991334,optimal,
workflow1,Q3,decomposition,inf,6.89509967353863,3931.1835103607737,11290.742334405328,19794.612098367645,0.06574,2353.4526365286806,127.01068045799911,INFEASIBLE,
workflow1,Q3,greedy,0.06146,6.89509967353863,3929.5398272953184,11288.071327597205,19791.991578562964,0.06568,2352.3064571465266,28.93655370900524,optimal,
workflow1,Q3,murakkab_profile,0.0704,13.750067030853172,4268.732536643684,11725.98948162259,20118.30174269101,0.07188,2493.8176757102137,6.03827462499612,optimal,
workflow1,Q3,single_cloud,0.06174,7.477678436754992,4262.036354801242,11458.288766125268,19374.03887224954,0.0665,2208.8344861186138,9.316420084011042,optimal,
workflow2,Q1,decomposition,inf,2.6792298024874763,517.7608758944118,1250.6354273390675,1934.3944031250408,0.03776,120.08079176523232,649.7826855839958,INFEASIBLE,
workflow2,Q1,greedy,0.07452,2.6792201433188643,600.3691927701735,1502.4558872229338,2368.498872271596,0.07366,274.15319724857954,89.75572516699322,optimal,
workflow2,Q1,murakkab_profile,0.06,2.7276522984835943,577.8379358982683,1435.4537412699783,2252.65145184434,0.06294,225.34173270573373,334.4236799999926,optimal,
workflow2,Q1,single_cloud,0.6753,7.879085903990907,1269.095131210704,2576.8264129591066,3405.07250588312,0.66442,1058.767216299139,21.89821770800336,optimal,
