batch_id,duration_minutes,duration_sec,trial_index,run_id,utc_iso,success,error_message,node_truncate_sec,node_upload_sec,node_segment_execute_sec,node_split_execute_http_observed_sec,segment_shot_count,split_segments_used_count,split_output_count,segment_pid,split_pid,bucket,gcs_uri,segment_result_location,detail_json_path
20260607_114842_8b6e6044,4.0,240.0,3,20260607_114842_8b6e6044,2026-06-07T11:56:49.347758+00:00,True,,,0,,157.088647,,46,240,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_4min.mkv,,sample_fps=1.0
20260607_114842_8b6e6044,6.0,360.0,1,20260607_114842_8b6e6044,2026-06-07T12:01:02.444211+00:00,True,,,0,,244.391276,,82,72,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_6min.mkv,,sample_fps=0.2
20260607_114842_8b6e6044,6.0,360.0,2,20260607_114842_8b6e6044,2026-06-07T12:05:18.091779+00:00,True,,,0,,249.429173,,82,72,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_6min.mkv,,sample_fps=0.2
20260607_120839_927a3b55,6.0,360.0,3,20260607_120839_927a3b55,2026-06-07T12:12:24.517540+00:00,True,,,0,,223.450087,,82,72,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_6min.mkv,,sample_fps=0.2
20260607_120839_f9074cf8,6.0,360.0,1,20260607_120839_f9074cf8,2026-06-07T12:13:17.664490+00:00,True,,,0,,276.666274,,82,180,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_6min.mkv,,sample_fps=0.5
20260607_120839_fb45512a,6.0,360.0,2,20260607_120839_fb45512a,2026-06-07T12:12:12.182027+00:00,True,,,0,,210.483337,,82,180,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_6min.mkv,,sample_fps=0.5
20260607_120839_3a4b5e10,6.0,360.0,3,20260607_120839_3a4b5e10,2026-06-07T12:12:17.176630+00:00,True,,,0,,215.577597,,82,180,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_6min.mkv,,sample_fps=0.5
20260607_120839_65e783df,6.0,360.0,1,20260607_120839_65e783df,2026-06-07T12:12:47.647629+00:00,True,,,0,,246.214635,,82,360,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_6min.mkv,,sample_fps=1.0
20260607_120839_927a3b55,6.0,360.0,2,20260607_120839_927a3b55,2026-06-07T12:16:39.158578+00:00,True,,,0,,253.098077,,82,360,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_6min.mkv,,sample_fps=1.0
20260607_120839_f9074cf8,6.0,360.0,3,20260607_120839_f9074cf8,2026-06-07T12:17:51.017814+00:00,True,,,0,,271.980279,,82,360,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_6min.mkv,,sample_fps=1.0
20260607_120839_fb45512a,8.0,480.0,1,20260607_120839_fb45512a,2026-06-07T12:17:35.341012+00:00,True,,,0,,320.791234,,97,96,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_8min.mkv,,sample_fps=0.2
20260607_120839_3a4b5e10,8.0,480.0,2,20260607_120839_3a4b5e10,2026-06-07T12:17:59.807647+00:00,True,,,0,,336.930123,,97,96,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_8min.mkv,,sample_fps=0.2
20260607_120839_65e783df,8.0,480.0,3,20260607_120839_65e783df,2026-06-07T12:18:13.025334+00:00,True,,,0,,324.355581,,97,96,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_8min.mkv,,sample_fps=0.2
20260607_120839_927a3b55,8.0,480.0,1,20260607_120839_927a3b55,2026-06-07T12:21:12.107380+00:00,True,,,0,,271.685517,,97,240,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_8min.mkv,,sample_fps=0.5
20260607_120839_f9074cf8,8.0,480.0,2,20260607_120839_f9074cf8,2026-06-07T12:23:24.206627+00:00,True,,,0,,331.381128,,97,240,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_8min.mkv,,sample_fps=0.5
20260607_120839_fb45512a,8.0,480.0,3,20260607_120839_fb45512a,2026-06-07T12:22:54.418332+00:00,True,,,0,,316.826738,,97,240,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_8min.mkv,,sample_fps=0.5
20260607_120839_3a4b5e10,8.0,480.0,1,20260607_120839_3a4b5e10,2026-06-07T12:23:31.848690+00:00,True,,,0,,330.893399,,97,480,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_8min.mkv,,sample_fps=1.0
20260607_120839_65e783df,8.0,480.0,2,20260607_120839_65e783df,2026-06-07T12:23:35.464796+00:00,True,,,0,,321.030638,,97,480,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_8min.mkv,,sample_fps=1.0
20260607_120839_927a3b55,8.0,480.0,3,20260607_120839_927a3b55,2026-06-07T12:26:47.005545+00:00,True,,,0,,333.14932,,97,480,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_8min.mkv,,sample_fps=1.0
20260607_120839_f9074cf8,10.0,600.0,1,20260607_120839_f9074cf8,2026-06-07T12:28:53.603251+00:00,True,,,0,,326.338336,,110,120,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_10min.mkv,,sample_fps=0.2
20260607_120839_fb45512a,10.0,600.0,2,20260607_120839_fb45512a,2026-06-07T12:29:25.972095+00:00,True,,,0,,388.849263,,110,120,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_10min.mkv,,sample_fps=0.2
20260607_120839_3a4b5e10,10.0,600.0,3,20260607_120839_3a4b5e10,2026-06-07T12:30:28.353179+00:00,True,,,0,,414.525196,,110,120,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_10min.mkv,,sample_fps=0.2
20260607_120839_65e783df,10.0,600.0,1,20260607_120839_65e783df,2026-06-07T12:30:07.911527+00:00,True,,,0,,390.988166,,110,300,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_10min.mkv,,sample_fps=0.5
20260607_120839_927a3b55,10.0,600.0,2,20260607_120839_927a3b55,2026-06-07T12:33:05.386566+00:00,True,,,0,,375.314372,,110,300,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_10min.mkv,,sample_fps=0.5
20260607_120839_f9074cf8,10.0,600.0,3,20260607_120839_f9074cf8,2026-06-07T12:35:36.779995+00:00,True,,,0,,401.86344,,110,300,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_10min.mkv,,sample_fps=0.5
20260607_120839_fb45512a,10.0,600.0,1,20260607_120839_fb45512a,2026-06-07T12:35:06.898193+00:00,True,,,0,,339.723801,,110,600,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_10min.mkv,,sample_fps=1.0
20260607_120839_3a4b5e10,10.0,600.0,2,20260607_120839_3a4b5e10,2026-06-07T12:37:22.461109+00:00,True,,,0,,412.539906,,110,600,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_10min.mkv,,sample_fps=1.0
20260607_123740_35449f63,10.0,600.0,3,20260607_123740_35449f63,2026-06-07T12:44:20.734244+00:00,True,,,0,,398.83903,,110,600,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_10min.mkv,,sample_fps=1.0
