probe_id,round,order_in_round,timestamp_start_utc,timestamp_end_utc,node_id,provider,region,bucket,operation,elapsed_sec,status,verified_size_bytes,object_uri,error_type,error_message
r001-gcp_asia_east1-metadata,1,11,2026-06-24T13:16:26.711+00:00,2026-06-24T13:16:35.101+00:00,gcp_asia_east1,gcp,asia-east1,skyflow-prototype-gcp-asia-east1,object_metadata,8.368912400037516,success,1048576,gs://skyflow-prototype-gcp-asia-east1/network_measurement/reference/payload_001mib.bin,,
r001-aliyun_us_east_1-metadata,1,12,2026-06-24T13:16:35.613+00:00,2026-06-24T13:16:37.026+00:00,aliyun_us_east_1,aliyun,us-east-1,skyflow-prototype-aliyun-us-east-1,object_metadata,1.381279600027483,success,1048576,oss://skyflow-prototype-aliyun-us-east-1/network_measurement/reference/payload_001mib.bin,,
r002-gcp_europe_west1-metadata,2,1,2026-06-24T13:40:55.558+00:00,2026-06-24T13:41:03.955+00:00,gcp_europe_west1,gcp,europe-west1,skyflow-prototype-gcp-europe-west1,object_metadata,8.375533299986273,success,1048576,gs://skyflow-prototype-gcp-europe-west1/network_measurement/reference/payload_001mib.bin,,
r002-aws_us_west_2-metadata,2,2,2026-06-24T13:41:04.467+00:00,2026-06-24T13:41:11.958+00:00,aws_us_west_2,aws,us-west-2,skyflow-prototype-aws-us-west-2,object_metadata,7.46882100001676,success,1048576,s3://skyflow-prototype-aws-us-west-2/network_measurement/reference/payload_001mib.bin,,
r002-aws_us_east_2-metadata,2,3,2026-06-24T13:41:12.462+00:00,2026-06-24T13:41:20.070+00:00,aws_us_east_2,aws,us-east-2,skyflow-prototype-aws-us-east-2,object_metadata,7.582969400042202,success,1048576,s3://skyflow-prototype-aws-us-east-2/network_measurement/reference/payload_001mib.bin,,
r002-aws_eu_central_1-metadata,2,4,2026-06-24T13:41:20.575+00:00,2026-06-24T13:41:28.488+00:00,aws_eu_central_1,aws,eu-central-1,skyflow-prototype-aws-eu-central-1,object_metadata,7.890479800000321,success,1048576,s3://skyflow-prototype-aws-eu-central-1/network_measurement/reference/payload_001mib.bin,,
r002-aliyun_cn_shanghai-metadata,2,5,2026-06-24T13:41:28.992+00:00,2026-06-24T13:41:29.296+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,object_metadata,0.2696960999746807,success,1048576,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/reference/payload_001mib.bin,,
r002-gcp_asia_east1-metadata,2,6,2026-06-24T13:41:29.801+00:00,2026-06-24T13:41:38.766+00:00,gcp_asia_east1,gcp,asia-east1,skyflow-prototype-gcp-asia-east1,object_metadata,8.94301170000108,success,1048576,gs://skyflow-prototype-gcp-asia-east1/network_measurement/reference/payload_001mib.bin,,
r002-aws_ap_southeast_1-metadata,2,7,2026-06-24T13:41:39.274+00:00,2026-06-24T13:41:47.206+00:00,aws_ap_southeast_1,aws,ap-southeast-1,skyflow-prototype-aws-ap-southeast-1,object_metadata,7.9104036000208,success,1048576,s3://skyflow-prototype-aws-ap-southeast-1/network_measurement/reference/payload_001mib.bin,,
r002-aliyun_us_east_1-metadata,2,8,2026-06-24T13:41:47.716+00:00,2026-06-24T13:41:49.125+00:00,aliyun_us_east_1,aliyun,us-east-1,skyflow-prototype-aliyun-us-east-1,object_metadata,1.3775691000046209,success,1048576,oss://skyflow-prototype-aliyun-us-east-1/network_measurement/reference/payload_001mib.bin,,
r002-aliyun_ap_southeast_1-metadata,2,9,2026-06-24T13:41:49.638+00:00,2026-06-24T13:41:50.983+00:00,aliyun_ap_southeast_1,aliyun,ap-southeast-1,skyflow-prototype-aliyun-ap-southeast-1,object_metadata,1.312924500030931,success,1048576,oss://skyflow-prototype-aliyun-ap-southeast-1/network_measurement/reference/payload_001mib.bin,,
r002-gcp_us_east1-metadata,2,10,2026-06-24T13:41:51.494+00:00,2026-06-24T13:42:01.762+00:00,gcp_us_east1,gcp,us-east1,skyflow-prototype-gcp-us-east1,object_metadata,10.245284600008745,success,1048576,gs://skyflow-prototype-gcp-us-east1/network_measurement/reference/payload_001mib.bin,,
r002-gcp_us_west1-metadata,2,11,2026-06-24T13:42:02.278+00:00,2026-06-24T13:42:10.413+00:00,gcp_us_west1,gcp,us-west1,skyflow-prototype-gcp-us-west1,object_metadata,8.111823300016113,success,1048576,gs://skyflow-prototype-gcp-us-west1/network_measurement/reference/payload_001mib.bin,,
r002-aliyun_cn_beijing-metadata,2,12,2026-06-24T13:42:10.927+00:00,2026-06-24T13:42:11.310+00:00,aliyun_cn_beijing,aliyun,cn-beijing,skyflow-prototype-aliyun-cn-beijing,object_metadata,0.3466883000219241,success,1048576,oss://skyflow-prototype-aliyun-cn-beijing/network_measurement/reference/payload_001mib.bin,,
r003-aliyun_ap_southeast_1-metadata,3,1,2026-06-24T14:08:07.178+00:00,2026-06-24T14:08:08.513+00:00,aliyun_ap_southeast_1,aliyun,ap-southeast-1,skyflow-prototype-aliyun-ap-southeast-1,object_metadata,1.2984677000204101,success,1048576,oss://skyflow-prototype-aliyun-ap-southeast-1/network_measurement/reference/payload_001mib.bin,,
r003-gcp_europe_west1-metadata,3,2,2026-06-24T14:08:09.027+00:00,2026-06-24T14:08:26.051+00:00,gcp_europe_west1,gcp,europe-west1,skyflow-prototype-gcp-europe-west1,object_metadata,17.002892799966503,success,1048576,gs://skyflow-prototype-gcp-europe-west1/network_measurement/reference/payload_001mib.bin,,
r003-aws_us_west_2-metadata,3,3,2026-06-24T14:08:26.560+00:00,2026-06-24T14:08:34.012+00:00,aws_us_west_2,aws,us-west-2,skyflow-prototype-aws-us-west-2,object_metadata,7.429274599999189,success,1048576,s3://skyflow-prototype-aws-us-west-2/network_measurement/reference/payload_001mib.bin,,
r003-aliyun_cn_shanghai-metadata,3,4,2026-06-24T14:08:34.522+00:00,2026-06-24T14:08:34.840+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,object_metadata,0.28416600002674386,success,1048576,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/reference/payload_001mib.bin,,
r003-aws_ap_southeast_1-metadata,3,5,2026-06-24T14:08:35.344+00:00,2026-06-24T14:08:43.296+00:00,aws_ap_southeast_1,aws,ap-southeast-1,skyflow-prototype-aws-ap-southeast-1,object_metadata,7.9313068999908864,success,1048576,s3://skyflow-prototype-aws-ap-southeast-1/network_measurement/reference/payload_001mib.bin,,
r003-aliyun_us_east_1-metadata,3,6,2026-06-24T14:08:43.796+00:00,2026-06-24T14:08:45.181+00:00,aliyun_us_east_1,aliyun,us-east-1,skyflow-prototype-aliyun-us-east-1,object_metadata,1.350608899956569,success,1048576,oss://skyflow-prototype-aliyun-us-east-1/network_measurement/reference/payload_001mib.bin,,
r003-aws_us_east_2-metadata,3,7,2026-06-24T14:08:45.685+00:00,2026-06-24T14:08:53.148+00:00,aws_us_east_2,aws,us-east-2,skyflow-prototype-aws-us-east-2,object_metadata,7.4398330000112765,success,1048576,s3://skyflow-prototype-aws-us-east-2/network_measurement/reference/payload_001mib.bin,,
r003-gcp_asia_east1-metadata,3,8,2026-06-24T14:08:53.655+00:00,2026-06-24T14:09:02.460+00:00,gcp_asia_east1,gcp,asia-east1,skyflow-prototype-gcp-asia-east1,object_metadata,8.784006500034593,success,1048576,gs://skyflow-prototype-gcp-asia-east1/network_measurement/reference/payload_001mib.bin,,
r003-gcp_us_west1-metadata,3,9,2026-06-24T14:09:02.975+00:00,2026-06-24T14:09:10.894+00:00,gcp_us_west1,gcp,us-west1,skyflow-prototype-gcp-us-west1,object_metadata,7.8983466000063345,success,1048576,gs://skyflow-prototype-gcp-us-west1/network_measurement/reference/payload_001mib.bin,,
r003-gcp_us_east1-metadata,3,10,2026-06-24T14:09:11.403+00:00,2026-06-24T14:09:19.484+00:00,gcp_us_east1,gcp,us-east1,skyflow-prototype-gcp-us-east1,object_metadata,8.059705800027587,success,1048576,gs://skyflow-prototype-gcp-us-east1/network_measurement/reference/payload_001mib.bin,,
r003-aws_eu_central_1-metadata,3,11,2026-06-24T14:09:19.997+00:00,2026-06-24T14:09:27.705+00:00,aws_eu_central_1,aws,eu-central-1,skyflow-prototype-aws-eu-central-1,object_metadata,7.685985599993728,success,1048576,s3://skyflow-prototype-aws-eu-central-1/network_measurement/reference/payload_001mib.bin,,
r003-aliyun_cn_beijing-metadata,3,12,2026-06-24T14:09:28.211+00:00,2026-06-24T14:09:28.653+00:00,aliyun_cn_beijing,aliyun,cn-beijing,skyflow-prototype-aliyun-cn-beijing,object_metadata,0.4110264999908395,success,1048576,oss://skyflow-prototype-aliyun-cn-beijing/network_measurement/reference/payload_001mib.bin,,
r004-aliyun_cn_beijing-metadata,4,1,2026-06-24T14:31:52.472+00:00,2026-06-24T14:31:52.873+00:00,aliyun_cn_beijing,aliyun,cn-beijing,skyflow-prototype-aliyun-cn-beijing,object_metadata,0.3686767000472173,success,1048576,oss://skyflow-prototype-aliyun-cn-beijing/network_measurement/reference/payload_001mib.bin,,
r004-aliyun_us_east_1-metadata,4,2,2026-06-24T14:31:53.384+00:00,2026-06-24T14:31:54.785+00:00,aliyun_us_east_1,aliyun,us-east-1,skyflow-prototype-aliyun-us-east-1,object_metadata,1.3690908999997191,success,1048576,oss://skyflow-prototype-aliyun-us-east-1/network_measurement/reference/payload_001mib.bin,,
r004-aws_ap_southeast_1-metadata,4,3,2026-06-24T14:31:55.292+00:00,2026-06-24T14:32:03.342+00:00,aws_ap_southeast_1,aws,ap-southeast-1,skyflow-prototype-aws-ap-southeast-1,object_metadata,8.021622299973387,success,1048576,s3://skyflow-prototype-aws-ap-southeast-1/network_measurement/reference/payload_001mib.bin,,
r004-gcp_europe_west1-metadata,4,4,2026-06-24T14:32:03.853+00:00,2026-06-24T14:32:09.393+00:00,gcp_europe_west1,gcp,europe-west1,skyflow-prototype-gcp-europe-west1,object_metadata,5.519343000021763,success,1048576,gs://skyflow-prototype-gcp-europe-west1/network_measurement/reference/payload_001mib.bin,,
r004-aliyun_cn_shanghai-metadata,4,5,2026-06-24T14:32:09.909+00:00,2026-06-24T14:32:10.234+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,object_metadata,0.2925688000395894,success,1048576,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/reference/payload_001mib.bin,,
