eta,eta_label,workflow,quality,setting,source_dir,has_result,expected_cost,violation_rate,svr_pct,status,objective_value,cvar_value
0.1,0.10,workflow2,Q1,workflow2_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p10\workflow2_Q1\decomposition,True,3.3965032778436206,0.03454,3.454,OPTIMAL,3.3987373062750317,6.96679718681253
0.025,0.025,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p025\workflow2_Q2\decomposition,True,8.394268972562678,0.00806,0.8059999999999999,OPTIMAL,8.398684652891182,5.035589734909182
0.0375,0.0375,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0375\workflow2_Q2\decomposition,True,8.394269558034432,0.0081,0.8099999999999999,OPTIMAL,8.398544293983074,3.3693099252044942
0.05,0.05,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow2_Q2\decomposition,True,8.394268972562678,0.00806,0.8059999999999999,OPTIMAL,8.398793066683888,2.51779486745464
0.0625,0.0625,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0625\workflow2_Q2\decomposition,True,8.394268972862978,0.00806,0.8059999999999999,OPTIMAL,8.398655807675455,2.014595326994066
0.075,0.075,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p075\workflow2_Q2\decomposition,True,8.394268987988642,0.00848,0.848,OPTIMAL,8.398524440534477,1.8563839602929748
0.0875,0.0875,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0875\workflow2_Q2\decomposition,True,8.394268987988642,0.00848,0.848,OPTIMAL,8.398695718090794,1.5911862516796653
0.1,0.10,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p10\workflow2_Q2\decomposition,True,8.394268972562678,0.00806,0.8059999999999999,OPTIMAL,8.398565707867174,1.25889743372732
0.025,0.025,workflow2,Q3,workflow2_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p025\workflow2_Q3\decomposition,False,,,,,,
0.0375,0.0375,workflow2,Q3,workflow2_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0375\workflow2_Q3\decomposition,True,20.832735696204725,0.04074,4.074,INFEASIBLE,inf,63.56041396668871
0.05,0.05,workflow2,Q3,workflow2_Q3,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow2_Q3\decomposition,True,21.289251977191018,0.04218,4.218,INFEASIBLE,inf,45.13839275940681
0.0625,0.0625,workflow2,Q3,workflow2_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0625\workflow2_Q3\decomposition,True,21.288312954996417,0.04304,4.304,INFEASIBLE,inf,36.68364559974565
0.075,0.075,workflow2,Q3,workflow2_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p075\workflow2_Q3\decomposition,True,21.28831351070498,0.04292,4.292,INFEASIBLE,inf,30.517208942694786
0.0875,0.0875,workflow2,Q3,workflow2_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0875\workflow2_Q3\decomposition,True,21.288313517158663,0.04304,4.304,INFEASIBLE,inf,26.202603999818322
0.1,0.10,workflow2,Q3,workflow2_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p10\workflow2_Q3\decomposition,True,20.832735696204725,0.04074,4.074,OPTIMAL,20.838981694174464,23.899398352197014
