eta,eta_label,workflow,quality,setting,source_dir,has_result,expected_cost,violation_rate,svr_pct,status,objective_value,cvar_value,base_cost,base_svr_pct,cost_delta_pct,svr_delta_pp
0.05,0.05,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow2_Q2\decomposition,True,8.394268972562678,0.00806,0.8059999999999999,OPTIMAL,8.398793066683888,2.51779486745464,8.394268972562678,0.8059999999999999,0.0,0.0
0.0625,0.0625,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0625\workflow2_Q2\decomposition,True,8.394268972862978,0.00806,0.8059999999999999,OPTIMAL,8.398655807675455,2.014595326994066,8.394268972562678,0.8059999999999999,3.577443492810686e-09,0.0
0.075,0.075,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p075\workflow2_Q2\decomposition,True,8.394268987988642,0.00848,0.848,OPTIMAL,8.398524440534477,1.8563839602929748,8.394268972562678,0.8059999999999999,1.8376781297081799e-07,0.04200000000000004
0.0875,0.0875,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0875\workflow2_Q2\decomposition,True,8.394268987988642,0.00848,0.848,OPTIMAL,8.398695718090794,1.591186251679665,8.394268972562678,0.8059999999999999,1.8376781297081799e-07,0.04200000000000004
0.1,0.1,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p10\workflow2_Q2\decomposition,True,8.394268972562678,0.00806,0.8059999999999999,OPTIMAL,8.398565707867174,1.25889743372732,8.394268972562678,0.8059999999999999,0.0,0.0
0.0375,0.0375,workflow2,Q3,workflow2_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0375\workflow2_Q3\decomposition,True,20.832735696204725,0.04074,4.074,INFEASIBLE,inf,63.56041396668871,21.289251977191014,4.218,-2.1443509686267688,-0.14400000000000013
0.05,0.05,workflow2,Q3,workflow2_Q3,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow2_Q3\decomposition,True,21.289251977191014,0.04218,4.218,INFEASIBLE,inf,45.13839275940681,21.289251977191014,4.218,0.0,0.0
0.0625,0.0625,workflow2,Q3,workflow2_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0625\workflow2_Q3\decomposition,True,21.288312954996417,0.04304,4.304,INFEASIBLE,inf,36.68364559974565,21.289251977191014,4.218,-0.004410780592963654,0.0860000000000003
0.075,0.075,workflow2,Q3,workflow2_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p075\workflow2_Q3\decomposition,True,21.28831351070498,0.04292,4.292,INFEASIBLE,inf,30.517208942694783,21.289251977191014,4.218,-0.004408170315419824,0.07399999999999984
0.0875,0.0875,workflow2,Q3,workflow2_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0875\workflow2_Q3\decomposition,True,21.288313517158663,0.04304,4.304,INFEASIBLE,inf,26.20260399981832,21.289251977191014,4.218,-0.0044081400011465,0.0860000000000003
0.1,0.1,workflow2,Q3,workflow2_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p10\workflow2_Q3\decomposition,True,20.832735696204725,0.04074,4.074,OPTIMAL,20.838981694174464,23.89939835219701,21.289251977191014,4.218,-2.1443509686267688,-0.14400000000000013
