workflow,quality_level,query_id,budget_factor,budget_baseline,baseline_p95_min,sla_sec_old,sla_sec_new,p95_greedy,p95_murakkab_profile,p95_single_cloud
workflow1,Q1,workflow1_Q1_q1128,1.0,greedy,1339.271260373475,20654.312009203422,1339.271260373475,1339.271260373475,1781.1557584390853,2175.5456998315
workflow1,Q1,workflow1_Q1_q1129,1.0,greedy,942.0492007645922,14431.536196557598,942.0492007645922,942.0492007645922,1239.592074181125,1511.8787948175968
workflow1,Q1,workflow1_Q1_q1130,1.0,greedy,950.3944582985115,12623.588652639506,950.3944582985115,950.3944582985115,1202.4071904225796,1421.1492325029358
workflow1,Q1,workflow1_Q1_q1131,1.0,greedy,2354.708704669002,31002.08174506288,2354.708704669002,2354.708704669002,3013.004763633823,3599.631708135677
workflow1,Q1,workflow1_Q1_q1132,1.0,greedy,1651.7239375777278,24988.104215934545,1651.7239375777278,1651.7239375777278,2189.699756899681,2662.7996318705727
workflow1,Q1,workflow1_Q1_q1133,1.0,greedy,1620.701486232134,20641.10778221405,1620.701486232134,1620.701486232134,2044.0717911900406,2430.3785500687227
workflow1,Q1,workflow1_Q1_q1134,1.0,greedy,256.15279433259656,3723.710589498413,256.15279433259656,256.15279433259656,310.2193780938106,345.6292931012865
workflow1,Q1,workflow1_Q1_q1135,1.0,greedy,426.529390458521,6647.422590009921,426.529390458521,426.529390458521,545.4994520730182,655.8333701096844
workflow1,Q1,workflow1_Q1_q1136,1.0,greedy,110.2897664963033,2050.390018488865,110.2897664963033,110.2897664963033,128.73413814258183,143.43762977570103
workflow1,Q1,workflow1_Q1_q1137,1.0,greedy,2147.432778637181,30532.1649770577,2147.432778637181,2147.432778637181,2804.644341304794,3387.935529502334
workflow1,Q1,workflow1_Q1_q1138,1.0,greedy,762.7432771600095,12252.154077881254,762.7432771600095,762.7432771600095,1011.5097709286318,1223.183391907694
workflow1,Q1,workflow1_Q1_q1139,1.0,greedy,1056.5106474219303,19087.420662173663,1056.5106474219303,1056.5106474219303,1471.379920552341,1818.541577868706
workflow1,Q1,workflow1_Q1_q1140,1.0,greedy,1821.368426039742,21814.52737164712,1821.368426039742,1821.368426039742,2265.599937296526,2674.1418687852724
workflow1,Q1,workflow1_Q1_q1141,1.0,greedy,505.561252187286,9111.999854920288,505.561252187286,505.561252187286,688.1593760380154,855.3884630817638
workflow1,Q1,workflow1_Q1_q1142,1.0,greedy,1411.720664809848,16821.323318516766,1411.720664809848,1411.720664809848,1748.2996627682703,2061.6322277845325
workflow1,Q1,workflow1_Q1_q1143,1.0,greedy,261.2786545401429,4057.707190228442,261.2786545401429,261.2786545401429,320.03720638950284,373.4011667259927
workflow1,Q1,workflow1_Q1_q1144,1.0,greedy,781.2203103763229,8357.766004198378,781.2203103763229,781.2203103763229,928.0755610591269,1072.6641292757788
workflow1,Q1,workflow1_Q1_q1145,1.0,greedy,1541.9420729425074,24409.50270125278,1541.9420729425074,1541.9420729425074,2070.6483278929923,2529.232472861589
workflow1,Q1,workflow1_Q1_q1146,1.0,greedy,2533.317791096546,30363.73729252729,2533.317791096546,2533.317791096546,3163.137650251052,3745.7088285400146
workflow1,Q1,workflow1_Q1_q1147,1.0,greedy,893.4137324483002,13205.275686589364,893.4137324483002,893.4137324483002,1165.9262457648333,1392.529528852019
workflow1,Q1,workflow1_Q1_q1148,1.0,greedy,283.78448874257714,4909.131257182204,283.78448874257714,283.78448874257714,369.25599657555904,434.54747254273883
workflow1,Q1,workflow1_Q1_q1149,1.0,greedy,478.8497064296875,7466.462463222365,478.8497064296875,478.8497064296875,620.3743401717185,741.192497280844
workflow1,Q1,workflow1_Q1_q1150,1.0,greedy,337.30314580624196,5705.165585576377,337.30314580624196,337.30314580624196,437.2649292720283,539.3507025331353
workflow1,Q1,workflow1_Q1_q1151,1.0,greedy,519.2356856448989,6108.017596593387,519.2356856448989,519.2356856448989,624.2645378728446,708.6974488367448
workflow1,Q1,workflow1_Q1_q1152,1.0,greedy,2421.6437999998057,22931.69755931561,2421.6437999998057,2421.6437999998057,2862.01384834052,3293.023897462155
workflow1,Q1,workflow1_Q1_q1153,1.0,greedy,1483.2711410703314,28722.03753469709,1483.2711410703314,1483.2711410703314,2129.003826268011,2665.2101517052533
