workflow,quality_level,query_id,budget_factor,baseline_aggregation,budget_baseline,baseline_p95_selected,baseline_p95_min,baseline_p95_max,sla_sec_old,sla_sec_new,p95_single_cloud,p95_greedy,p95_dpgm,p95_mtgp
workflow1,Q1,workflow1_Q1_q0065,1.0,max,greedy,3686.9978117581986,3274.930742800839,3686.9978117581986,3686.9978117581986,3686.9978117581986,3463.8707757205743,3686.9978117581986,3686.9978117581986,3274.930742800839
workflow1,Q1,workflow1_Q1_q0066,1.0,max,greedy,8599.771878309737,7610.481016290528,8599.771878309737,8599.771878309737,8599.771878309737,8041.993538988426,8599.771878309737,8599.771878309737,7610.481016290528
workflow1,Q1,workflow1_Q1_q0067,1.0,max,greedy,5772.593010406968,5159.832642153911,5772.593010406968,5772.593010406968,5772.593010406968,5540.126101579641,5772.593010406968,5772.593010406968,5159.832642153911
workflow1,Q1,workflow1_Q1_q0068,1.0,max,greedy,835.4541570704472,765.6188724184229,835.4541570704472,835.4541570704472,835.4541570704472,805.6221370710617,835.4541570704472,835.4541570704472,765.6188724184229
workflow1,Q1,workflow1_Q1_q0069,1.0,max,greedy,5262.926564764233,4720.454357286855,5262.926564764233,5262.926564764233,5262.926564764233,4878.032956461959,5262.926564764233,5262.926564764233,4720.454357286855
workflow1,Q1,workflow1_Q1_q0070,1.0,max,greedy,7536.716710580895,6681.926248573484,7536.716710580895,7536.716710580895,7536.716710580895,7029.275182526756,7536.716710580895,7536.716710580895,6681.926248573484
workflow1,Q1,workflow1_Q1_q0071,1.0,max,greedy,1587.5691352961817,1425.2062046182282,1587.5691352961817,1587.5691352961817,1587.5691352961817,1482.6255914103872,1587.5691352961817,1587.5691352961817,1425.2062046182282
workflow1,Q1,workflow1_Q1_q0072,1.0,max,greedy,12496.249425062393,10993.730054518943,12496.249425062393,12496.249425062391,12496.249425062393,11557.011209398077,12496.249425062393,12496.249425062393,10993.730054518943
workflow1,Q1,workflow1_Q1_q0073,1.0,max,greedy,909.3567588744985,827.8036300726603,909.3567588744985,909.3567588744984,909.3567588744985,862.3932487660674,909.3567588744985,909.3567588744985,827.8036300726603
workflow1,Q1,workflow1_Q1_q0074,1.0,max,greedy,12022.073536319109,10814.993031095531,12022.073536319109,12022.073536319109,12022.073536319109,11313.83218760021,12022.073536319109,12022.073536319109,10814.993031095531
