workflow,quality_level,query_count,full_status,skyflow_status,full_expected_cost,skyflow_expected_cost,skyflow_cost_gap_abs,skyflow_cost_gap_pct,full_violation_rate,skyflow_violation_rate,full_success_rate,skyflow_success_rate,full_avg_latency,skyflow_avg_latency,full_p95_latency,skyflow_p95_latency,full_solver_runtime_sec,skyflow_solver_runtime_sec,solver_runtime_speedup,full_wall_time_sec,skyflow_wall_time_sec,wall_time_speedup,full_peak_memory_mb,skyflow_peak_memory_mb,memory_reduction_mb,memory_reduction_pct
workflow2,Q2,200,OPTIMAL,OPTIMAL,8.077267636473945,8.077267651925272,1.5451327328719344e-08,1.9129398732495728e-07,0.0101,0.0102,0.9899,0.9898,4310.876463495081,4310.936402630117,8376.138571208625,8376.138139288085,395.7852555999998,422.3294514999725,0.9371481297226688,562.7233473000815,650.4470729000168,0.8651331841516032,7632.3671875,3301.94140625,4330.42578125,56.73764999595677
workflow2,Q2,400,OPTIMAL,OPTIMAL,8.51722538675938,8.517224807319037,-5.794403428183159e-07,-6.803158499469748e-06,0.01005,0.0096,0.98995,0.9904,4590.650461601849,4585.990012703673,8443.278330508685,8434.92674315745,981.1753916000016,1404.4129140001023,0.6986374034438209,1386.5111839000601,2194.4593355999095,0.6318235938152043,14967.828125,5714.8359375,9252.9921875,61.81920389669092
workflow2,Q2,600,OPTIMAL,OPTIMAL,8.462848588124984,8.462848588124984,0.0,0.0,0.009166666666666667,0.009166666666666667,0.9908333333333333,0.9908333333333333,4552.612380241972,4552.612380241972,8439.65846086033,8439.65846086033,1654.4778952000197,2962.2287990001496,0.5585246810639546,2262.5276093999855,4367.247156999889,0.5180672235995557,17898.73046875,8502.9609375,9395.76953125,52.49405564073046
workflow2,Q2,800,OPTIMAL,OPTIMAL,8.350006376812562,8.350006391939893,1.5127330499353775e-08,1.8116549636849874e-07,0.008275,0.008325,0.991725,0.991675,4481.986075481965,4482.042740189592,8456.750488555981,8456.821104980276,2346.5110971000977,3735.4930621999083,0.6281663646614268,3154.545510999975,5331.862294699997,0.5916404694351673,23132.5625,12538.7734375,10593.7890625,45.796003198953855
workflow2,Q2,1000,OPTIMAL,OPTIMAL,8.394269558034432,8.394268972862978,-5.851714544036213e-07,-6.971082479041126e-06,0.0081,0.00806,0.9919,0.99194,4509.599573992894,4509.542828128673,8439.655445459517,8439.50445924736,3121.084922500071,2468.044320099987,1.264598409794208,4156.301912300056,3624.2902632999467,1.1467905742504487,25253.82421875,13530.61328125,11723.2109375,46.42152743264904
workflow2,Q3,200,OPTIMAL,OPTIMAL,20.789828337001648,20.789828337001648,0.0,0.0,0.0404,0.0404,0.9596,0.9596,5490.850534800993,5490.850534800993,10453.684981971526,10453.684981971526,462.48899779992644,760.2781844999408,0.6083154919197374,679.2076978000114,1095.7766534000402,0.6198413661146419,7600.0078125,2812.1328125,4787.875,62.99829050340203
workflow2,Q3,400,OPTIMAL,OPTIMAL,20.88392957483029,20.88392957483029,0.0,0.0,0.0422,0.0422,0.9578,0.9578,5518.836582400159,5518.836582400159,10558.561930446942,10558.561930446942,1055.6055863999063,923.2384777000407,1.1433726083748337,1470.0675783000188,1424.4037762000225,1.032058186634282,14961.69140625,5775.3359375,9186.35546875,61.39917753491795
workflow2,Q3,600,OPTIMAL,OPTIMAL,21.287308781452182,21.287308781452182,0.0,0.0,0.042466666666666666,0.042466666666666666,0.9575333333333333,0.9575333333333333,5632.830999518524,5632.830999518524,10545.439482309852,10545.439482309852,1646.6667232000036,2642.347016800195,0.6231833717261213,2271.4424621000653,3839.0959256999195,0.591660772760178,22537.69140625,9227.84375,13309.84765625,59.055949504033954
workflow2,Q3,800,OPTIMAL,OPTIMAL,21.09498624291009,21.09498565817407,-5.847360178279359e-07,-2.771919408217024e-06,0.041225,0.041075,0.958775,0.958925,5577.756239169071,5577.6605189821485,10479.639609461688,10479.517485981318,2211.5199911000673,2130.0289397001034,1.0382581897743781,3026.1461862999713,3096.0357085999567,0.9774261252524152,24266.44921875,11671.37890625,12595.0703125,51.90322736945026
workflow2,Q3,1000,OPTIMAL,OPTIMAL,20.832735704874445,20.832735696204725,-8.669719164799972e-09,-4.161584579010154e-08,0.04074,0.04074,0.95926,0.95926,5505.357367192493,5505.355184002818,10497.739030679162,10497.736848266979,3132.93877160002,3927.7881355000427,0.7976343589624822,4160.75405410002,5546.862507599988,0.7501094624932918,24831.90625,15407.41796875,9424.48828125,37.953140553798605
