workflow,quality,component,cost_mean,cost_share,latency_mean_on_critical_path,latency_p95_on_critical_path,latency_share
workflow2,Q1,edge:Database->Q/A,6.761434214581336e-07,2.3562716672866908e-07,0.06482715888816132,0.06523415298991635,0.00010584743121593631
workflow2,Q1,edge:Label Detection->Database,0.0,0.0,0.0,0.0,0.0
workflow2,Q1,edge:OCR->Database,1.0328068522088746e-05,3.599197221191938e-06,0.0,0.0,0.0
workflow2,Q1,edge:Q/A->ClientSink,2.57336416886889e-08,8.967838609802965e-09,0.06522200041879565,0.06523086532777994,0.0001064921141308102
workflow2,Q1,edge:Shot Detection->Video Split & Sample,0.0,0.0,9.1584169153853e-06,1.7112502520243402e-05,1.4953530605444184e-08
workflow2,Q1,edge:Speech Transcription->Database,0.0,0.0,0.0,0.0,0.0
workflow2,Q1,edge:Video Caption->Database,1.3000831589926976e-05,4.5306203024867446e-06,0.07666336510880702,0.09834085849400447,0.00012517315897085454
workflow2,Q1,edge:Video Split & Sample->Label Detection,0.0,0.0,0.0,0.0,0.0
workflow2,Q1,edge:Video Split & Sample->OCR,0.007069125811458632,0.0024634981770737217,0.0,0.0,0.0
workflow2,Q1,edge:Video Split & Sample->Video Caption,0.007069125811458632,0.0024634981770737217,4.6946041819210995,8.974302914815182,0.007665179251325885
workflow2,Q1,node:Database,1.2255051295924244,0.4270725593611257,0.00111222663002895,0.0011940056115253622,1.8160032575486047e-06
workflow2,Q1,node:Label Detection,0.059335615910391055,0.020677688518975973,0.0,0.0,0.0
workflow2,Q1,node:OCR,0.20452226349121175,0.07127334223772004,0.0,0.0,0.0
workflow2,Q1,node:Q/A,0.001876870653586926,0.0006540649518813015,1.6344730973870665,1.8161179421231146,0.0026687083271448113
workflow2,Q1,node:Shot Detection,0.9261568355903638,0.3227535818450017,56.68197966449575,92.67135724098996,0.09254827832377001
workflow2,Q1,node:Speech Transcription,0.19138898657723244,0.06669656646664113,0.0,0.0,0.0
workflow2,Q1,node:Video Caption,0.20782684995109021,0.07242494753334193,404.88998178810493,1212.9911784981462,0.6610896610674168
workflow2,Q1,node:Video Split & Sample,0.03877298090677545,0.01351187831863565,16.921986025707444,29.514872688477904,0.027629604360468157
workflow2,Q2,edge:ClientSource->Shot Detection,0.0,0.0,95.56437341222826,182.9160569562212,0.042681101596650256
workflow2,Q2,edge:ClientSource->Speech Transcription,0.0,0.0,0.0,0.0,0.0
workflow2,Q2,edge:Database->Q/A,6.745027092490723e-07,1.482491036944467e-07,0.06620113907468216,0.06640874288207255,2.956685050894637e-05
workflow2,Q2,edge:Label Detection->Database,0.0,0.0,0.0,0.0,0.0
workflow2,Q2,edge:OCR->Database,2.5974645198009964e-05,5.708973168800563e-06,0.0,0.0,0.0
workflow2,Q2,edge:Q/A->ClientSink,2.574962186083704e-08,5.65951523840417e-09,0.065222018738075,0.06523085165800874,2.9129554338104433e-05
workflow2,Q2,edge:Shot Detection->Video Split & Sample,0.0,0.0,8.934702350793342e-06,1.710208476215668e-05,3.990429959971301e-09
workflow2,Q2,edge:Speech Transcription->Database,0.0,0.0,0.0,0.0,0.0
