workflow,quality_level,query_id,budget_factor,budget_baseline,baseline_p90_max,sla_sec_old,sla_sec_new,p90_greedy,p90_murakkab_profile,p90_single_cloud
workflow1,Q1,workflow1_Q1_q0041,1.0,single_cloud,3156.4563086457274,29881.486854719333,3156.4563086457274,980.228018334636,1687.674054451446,3156.4563086457274
workflow1,Q1,workflow1_Q1_q0042,1.0,single_cloud,2440.455055063961,23792.18043811417,2440.455055063961,719.7471397931291,1284.2826984341125,2440.455055063961
workflow1,Q1,workflow1_Q1_q0043,1.0,single_cloud,1782.3565074020232,17589.449706716554,1782.3565074020232,538.9561079045111,948.392215500237,1782.3565074020232
workflow1,Q1,workflow1_Q1_q0044,1.0,single_cloud,991.3338164080187,10058.37999253565,991.3338164080187,331.27025263033363,551.102674622085,991.3338164080187
workflow1,Q1,workflow1_Q1_q0045,1.0,single_cloud,2919.265431390067,28053.559941548145,2919.265431390067,872.1946007224857,1541.6098694539876,2919.265431390067
workflow1,Q1,workflow1_Q1_q0046,1.0,single_cloud,856.009343720023,8605.623488187537,856.009343720023,292.824868253149,476.1720193341541,856.009343720023
workflow1,Q1,workflow1_Q1_q0047,1.0,single_cloud,1103.3751368091152,11257.220108041003,1103.3751368091152,338.54464301042486,586.6627320638108,1103.3751368091152
workflow1,Q1,workflow1_Q1_q0048,1.0,single_cloud,2895.44412710366,28408.142377375076,2895.44412710366,809.2886475139898,1484.2547752620142,2895.44412710366
workflow1,Q1,workflow1_Q1_q0049,1.0,single_cloud,1753.3956171422979,17257.004668385995,1753.3956171422979,533.5914175241371,932.8303532811025,1753.3956171422979
workflow1,Q1,workflow1_Q1_q0050,1.0,single_cloud,2442.281343531613,23508.785989798995,2442.281343531613,753.6152277805148,1309.2868874160358,2442.281343531613
workflow1,Q1,workflow1_Q1_q0051,1.0,single_cloud,1895.5551188633792,19055.263542119777,1895.5551188633792,524.4986933253086,970.4173973268253,1895.5551188633792
workflow1,Q1,workflow1_Q1_q0052,1.0,single_cloud,2233.8589246570323,20897.35083911699,2233.8589246570323,760.4150214370966,1240.9869083787892,2233.8589246570323
workflow1,Q1,workflow1_Q1_q0053,1.0,single_cloud,1043.2293580327232,10494.479871288606,1043.2293580327232,349.10307300880226,579.1801860971275,1043.2293580327232
workflow1,Q1,workflow1_Q1_q0054,1.0,single_cloud,826.3218375708894,8789.99391471461,826.3218375708894,246.97766648611838,437.01536705660146,826.3218375708894
workflow1,Q1,workflow1_Q1_q0055,1.0,single_cloud,1178.9092356182925,11173.470144509722,1178.9092356182925,429.93630336192075,673.2350413648694,1178.9092356182925
workflow1,Q1,workflow1_Q1_q0056,1.0,single_cloud,574.7266659658818,6265.184035899119,574.7266659658818,192.61836079252322,319.6642069120781,574.7266659658818
workflow1,Q1,workflow1_Q1_q0057,1.0,single_cloud,2794.78221036178,27387.104680974506,2794.78221036178,788.4286683445696,1443.0798771911293,2794.78221036178
workflow1,Q1,workflow1_Q1_q0058,1.0,single_cloud,1023.3932129442026,10020.361392754852,1023.3932129442026,364.044437750345,580.9535990464213,1023.3932129442026
workflow1,Q1,workflow1_Q1_q0059,1.0,single_cloud,1896.228038530016,18195.681386683453,1896.228038530016,615.6085818011481,1033.726224135181,1896.228038530016
workflow1,Q1,workflow1_Q1_q0060,1.0,single_cloud,2496.055187809642,24967.792559503858,2496.055187809642,670.8461674580633,1269.01697939361,2496.055187809642
workflow1,Q1,workflow1_Q1_q0061,1.0,single_cloud,2517.4452082390435,24728.319981677218,2517.4452082390435,720.2929027171025,1304.6633523679532,2517.4452082390435
workflow1,Q1,workflow1_Q1_q0062,1.0,single_cloud,1440.3166294977611,14578.665049720756,1440.3166294977611,426.6411712076355,762.0050173524726,1440.3166294977611
workflow1,Q1,workflow1_Q1_q0063,1.0,single_cloud,1546.6902512713434,15691.392240895171,1546.6902512713434,447.4614996763357,808.8925941776502,1546.6902512713434
workflow1,Q1,workflow1_Q1_q0064,1.0,single_cloud,3241.922333292743,30924.326787208895,3241.922333292743,978.4272363350691,1715.3679345994608,3241.922333292743
workflow1,Q1,workflow1_Q1_q0065,1.0,single_cloud,2297.6638868473224,21519.02306859769,2297.6638868473224,769.7810264221894,1265.7936999215856,2297.6638868473224
workflow1,Q1,workflow1_Q1_q0066,1.0,single_cloud,2662.388254397208,25633.706735689633,2662.388254397208,795.8291914361141,1401.5024993103862,2662.388254397208
workflow1,Q1,workflow1_Q1_q0067,1.0,single_cloud,2922.7034824536236,28216.84072359948,2922.7034824536236,870.0978655299292,1541.4995132895995,2922.7034824536236
