workflow,quality,component,cost_mean,cost_share,latency_mean_on_critical_path,latency_p95_on_critical_path,latency_share
workflow2,Q1,edge:Database->Q/A,6.754824026558243e-07,2.1466702790106768e-07,0.06482583257630953,0.06523273862176562,0.00010561728113057049
workflow2,Q1,edge:Label Detection->Database,0.0,0.0,0.0,0.0,0.0
workflow2,Q1,edge:OCR->Database,1.0342114213584803e-05,3.2867043045307006e-06,0.0,0.0,0.0
workflow2,Q1,edge:Q/A->ClientSink,2.570923583546308e-08,8.17034644382663e-09,0.06522197244052115,0.06523083792437803,0.00010626269074187341
workflow2,Q1,edge:Shot Detection->Video Split & Sample,0.0,0.0,9.1584169153853e-06,1.7112502520243402e-05,1.49213215723004e-08
workflow2,Q1,edge:Speech Transcription->Database,0.0,0.0,0.0,0.0,0.0
workflow2,Q1,edge:Video Caption->Database,1.3043275268164784e-05,4.145128170480391e-06,0.0766987326820065,0.09840722376083832,0.0001249611657898605
workflow2,Q1,edge:Video Split & Sample->Label Detection,0.0,0.0,0.0,0.0,0.0
workflow2,Q1,edge:Video Split & Sample->OCR,0.007075450039269044,0.0022485646184424433,0.0,0.0,0.0
workflow2,Q1,edge:Video Split & Sample->Video Caption,0.007075450039269044,0.0022485646184424433,4.698746176982093,8.973212338873319,0.007655417234346042
workflow2,Q1,node:Database,1.2255048915414222,0.389463132882621,0.00111222663002895,0.0011940056115253622,1.812091692403561e-06
workflow2,Q1,node:Label Detection,0.05938869816028954,0.018873615766832646,0.0,0.0,0.0
workflow2,Q1,node:OCR,0.2047052345771176,0.06505493574619595,0.0,0.0,0.0
workflow2,Q1,node:Q/A,0.0018750467206026247,0.0005958862956382576,1.6338998135171716,1.8155564375781617,0.0026620260640739454
workflow2,Q1,node:Shot Detection,0.9261568355903638,0.2943308877992233,56.68197966449575,92.67135724098995,0.09234893472776032
workflow2,Q1,node:Speech Transcription,0.1913889720647154,0.0608230527466557,0.0,0.0,0.0
workflow2,Q1,node:Video Caption,0.48468418301346994,0.1540317151550915,406.2084265787166,1215.4651661772305,0.6618137844518744
workflow2,Q1,node:Video Split & Sample,0.03877301181331249,0.012321989701007369,16.921986025707444,29.514872688477904,0.027570091803462263
workflow2,Q2,edge:ClientSource->Shot Detection,0.0,0.0,95.56437341222826,182.9160569562212,0.042470951633722005
workflow2,Q2,edge:ClientSource->Speech Transcription,0.0,0.0,0.0,0.0,0.0
workflow2,Q2,edge:Database->Q/A,6.740079042710511e-07,1.0245287689288645e-07,0.06620063316589557,0.0664088514406074,2.9421046661210626e-05
workflow2,Q2,edge:Label Detection->Database,0.0,0.0,0.0,0.0,0.0
workflow2,Q2,edge:OCR->Database,2.5975642671418356e-05,3.948439334263659e-06,0.0,0.0,0.0
workflow2,Q2,edge:Q/A->ClientSink,2.579097616557805e-08,3.920369018367946e-09,0.06522206614564069,0.06523087749708296,2.898614952220754e-05
workflow2,Q2,edge:Shot Detection->Video Split & Sample,0.0,0.0,8.934702350793342e-06,1.710208476215668e-05,3.970782184333253e-09
workflow2,Q2,edge:Speech Transcription->Database,0.0,0.0,0.0,0.0,0.0
workflow2,Q2,edge:Video Caption->Database,3.1760306796978665e-05,4.827739825796755e-06,0.08546478352059518,0.12851222138265544,3.798246729073682e-05
workflow2,Q2,edge:Video Split & Sample->Label Detection,0.0,0.0,0.0,0.0,0.0
workflow2,Q2,edge:Video Split & Sample->OCR,0.017200241331807555,0.002614530477356161,0.0,0.0,0.0
