workflow,quality,method,logical_node,provider,region,endpoint_id,execution_cost,storage_cost,service_cost
workflow2,Q3,SkyFlow,Database,Aliyun,cn-shanghai,database_aliyun_cn-shanghai_q3,1.2253333333340943,0.00023457877082552737,1.2255679121049199
workflow2,Q3,SkyFlow,Q/A,AWS,eu-central-1,q_a_aws_eu-central-1_q3,9.711232101455431,3.3642756555926952e-06,9.711235465731088
workflow2,Q3,Greedy,Speech Transcription,Aliyun,cn-shanghai,speech_transcription_aliyun_cn-shanghai_q3,0.18403849534377215,0.00510725344093593,0.18914574878470808
workflow2,Q3,Greedy,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q3,0.9051073541497052,0.010194242986191069,0.9153015971358963
workflow2,Q3,Greedy,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q3,0.03318726965215482,0.005266820415079954,0.03845409006723478
workflow2,Q3,Greedy,Video Caption,Azure,westus2,video_caption_azure_westus2_q3,16.745673526648897,0.000181390321542728,16.74585491697044
workflow2,Q3,Greedy,OCR,Azure,westus2,ocr_azure_westus2_q3,1.0044606711664446,0.00018084665965795,1.0046415178261026
workflow2,Q3,Greedy,Label Detection,Aliyun,cn-shanghai,label_detection_aliyun_cn-shanghai_q3,0.29129359463825416,0.0001711167006740927,0.29146471133892826
workflow2,Q3,Greedy,Database,Aliyun,cn-shanghai,database_aliyun_cn-shanghai_q3,1.2253333333340943,0.00023457877082552737,1.2255679121049199
workflow2,Q3,Greedy,Q/A,Azure,eastus,q_a_azure_eastus_q3,9.711232101455431,2.5266396760369777e-06,9.711234628095108
workflow2,Q3,Murakkab-style,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q3,0.9051073541497052,0.010194242986191069,0.9153015971358963
workflow2,Q3,Murakkab-style,Video Split & Sample,Aliyun,ap-southeast-1,video_split_and_sample_aliyun_ap-southeast-1_q3,0.03318726965215482,0.005175488269153733,0.038362757921308555
workflow2,Q3,Murakkab-style,Video Caption,AWS,ap-southeast-1,video_caption_aws_ap-southeast-1_q3,16.745673526648897,0.0002464542412265285,16.745919980890122
workflow2,Q3,Murakkab-style,OCR,AWS,ap-southeast-1,ocr_aws_ap-southeast-1_q3,1.0044606711664446,0.0002457155701874295,1.004706386736632
workflow2,Q3,Murakkab-style,Label Detection,Aliyun,ap-southeast-1,label_detection_aliyun_ap-southeast-1_q3,0.29129359463825416,0.00016814935904390602,0.2914617439972981
workflow2,Q3,Murakkab-style,Speech Transcription,Aliyun,cn-beijing,speech_transcription_aliyun_cn-beijing_q3,0.18403849534377215,0.00510725344093593,0.18914574878470808
workflow2,Q3,Murakkab-style,Database,Aliyun,cn-beijing,database_aliyun_cn-beijing_q3,1.2253333333340943,0.00023457877082552737,1.2255679121049199
workflow2,Q3,Murakkab-style,Q/A,Anthropic,global,q_a_anthropic_global_q3,9.711232101455431,0.0,9.711232101455431
workflow2,Q3,Single-Cloud,Speech Transcription,AWS,us-east-2,speech_transcription_aws_us-east-2_q3,0.7240858833197962,0.0067899901237876295,0.7308758734435838
workflow2,Q3,Single-Cloud,Shot Detection,AWS,us-east-2,shot_detection_aws_us-east-2_q3,1.5085122569156328,0.013553039808231254,1.5220652967238641
workflow2,Q3,Single-Cloud,Video Split & Sample,AWS,us-east-2,video_split_and_sample_aws_us-east-2_q3,0.06034049027665068,0.007002131187678625,0.0673426214643293
workflow2,Q3,Single-Cloud,Video Caption,AWS,us-east-2,video_caption_aws_us-east-2_q3,16.745673526648897,0.00022673790192840798,16.745900264550826
workflow2,Q3,Single-Cloud,OCR,AWS,us-east-2,ocr_aws_us-east-2_q3,1.0044606711664446,0.00022605832457243483,1.004686729491017
workflow2,Q3,Single-Cloud,Label Detection,AWS,us-east-2,label_detection_aws_us-east-2_q3,1.0044606711664446,0.00022749619164763775,1.0046881673580923
workflow2,Q3,Single-Cloud,Database,AWS,us-east-2,database_aws_us-east-2_q3,5.760000000004034,0.00010405044648950561,5.760104050450523
workflow2,Q3,Single-Cloud,Q/A,AWS,us-east-2,q_a_aws_us-east-2_q3,9.711232101455431,3.158299595046224e-06,9.711235259755027
