workflow,quality,method,src,dst,src_provider,src_region,dst_provider,dst_region,egress_cost_per_gb,mean_output_mb,network_cost
workflow2,Q2,Murakkab-style,Speech Transcription,Database,Aliyun,cn-beijing,Aliyun,cn-beijing,0.0,17.759977346040273,0.0
workflow2,Q2,Murakkab-style,Database,Q/A,Aliyun,cn-beijing,Anthropic,global,0.12,2.961070461195702,0.00034700044467136953
workflow2,Q2,Murakkab-style,Q/A,ClientSink,Anthropic,global,client,local,0.12,0.4467126864132932,5.2349142939058515e-05
workflow2,Q2,Single-Cloud,ClientSource,Shot Detection,client,local,AWS,us-east-2,0.0,8934.702350793239,0.0
workflow2,Q2,Single-Cloud,Shot Detection,Video Split & Sample,AWS,us-east-2,AWS,us-east-2,0.0,8934.702350793239,0.0
workflow2,Q2,Single-Cloud,Video Split & Sample,Video Caption,AWS,us-east-2,AWS,us-east-2,0.0,149.3161156107247,0.0
workflow2,Q2,Single-Cloud,Video Caption,Database,AWS,us-east-2,AWS,us-east-2,0.0,0.37378862514089467,0.0
workflow2,Q2,Single-Cloud,Video Split & Sample,OCR,AWS,us-east-2,AWS,us-east-2,0.0,149.3161156107247,0.0
workflow2,Q2,Single-Cloud,OCR,Database,AWS,us-east-2,AWS,us-east-2,0.0,0.2958151526067431,0.0
workflow2,Q2,Single-Cloud,Video Split & Sample,Label Detection,AWS,us-east-2,AWS,us-east-2,0.0,149.3161156107247,0.0
workflow2,Q2,Single-Cloud,Label Detection,Database,AWS,us-east-2,AWS,us-east-2,0.0,1.2379240801488363,0.0
workflow2,Q2,Single-Cloud,ClientSource,Speech Transcription,client,local,AWS,us-east-2,0.0,8934.702350793239,0.0
workflow2,Q2,Single-Cloud,Speech Transcription,Database,AWS,us-east-2,AWS,us-east-2,0.0,17.759977346040273,0.0
workflow2,Q2,Single-Cloud,Database,Q/A,AWS,us-east-2,AWS,us-east-2,0.0,2.961070461195702,0.0
workflow2,Q2,Single-Cloud,Q/A,ClientSink,AWS,us-east-2,client,local,0.09,0.4467126864132932,3.926185720429395e-05
workflow2,Q3,SkyFlow,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,9051.073541498048,0.0
workflow2,Q3,SkyFlow,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,9051.073541498048,0.0
workflow2,Q3,SkyFlow,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Azure,eastus,0.118,301.33820134993897,0.03472451929618406
workflow2,Q3,SkyFlow,Video Caption,Database,Azure,eastus,Aliyun,cn-shanghai,0.087,1.5047702692237384,0.00012784669279537566
workflow2,Q3,SkyFlow,Video Split & Sample,OCR,Aliyun,cn-shanghai,Azure,eastus,0.118,301.33820134993897,0.03472451929618406
workflow2,Q3,SkyFlow,OCR,Database,Azure,eastus,Aliyun,cn-shanghai,0.087,0.5970912963771735,5.0729436313295445e-05
workflow2,Q3,SkyFlow,Video Split & Sample,Label Detection,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,301.33820134993897,0.0
workflow2,Q3,SkyFlow,Label Detection,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,2.5175815811697704,0.0
workflow2,Q3,SkyFlow,ClientSource,Speech Transcription,client,local,Aliyun,cn-shanghai,0.0,9051.073541498048,0.0
workflow2,Q3,SkyFlow,Speech Transcription,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,17.991528187750653,0.0
workflow2,Q3,SkyFlow,Database,Q/A,Aliyun,cn-shanghai,AWS,eu-central-1,0.118,3.376262130174684,0.00038906145640684635
workflow2,Q3,SkyFlow,Q/A,ClientSink,AWS,eu-central-1,client,local,0.09,0.8421275898174716,7.401512019880237e-05
workflow2,Q3,Greedy,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,9051.073541498048,0.0
workflow2,Q3,Greedy,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,9051.073541498048,0.0
workflow2,Q3,Greedy,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Azure,westus2,0.118,301.33820134993897,0.03472451929618406
