workflow,quality_level,query_id,budget_factor,budget_baseline,baseline_p95_min,sla_sec_old,sla_sec_new,p95_greedy,p95_murakkab_profile,p95_single_cloud
workflow2,Q2,workflow2_Q2_q1798,1.0,single_cloud,19185.779766448417,19639.524405158983,19185.779766448417,21144.63574868678,19645.899331168876,19185.779766448417
workflow2,Q2,workflow2_Q2_q1799,1.0,single_cloud,1633.5333067324716,3602.1275043595906,1633.5333067324716,1692.939060009677,1652.8124093674865,1633.5333067324716
workflow2,Q2,workflow2_Q2_q1800,1.0,single_cloud,15108.594694885574,21443.06564796172,15108.594694885574,16091.719912464894,16141.700803022653,15108.594694885574
workflow2,Q2,workflow2_Q2_q1801,1.0,single_cloud,1897.7599551419903,3549.095521891865,1897.7599551419903,2019.9618967305203,1909.518686402382,1897.7599551419903
workflow2,Q2,workflow2_Q2_q1802,1.0,single_cloud,14703.639961710482,12706.457394930045,14703.639961710482,16438.558840810278,16145.797797674672,14703.639961710482
workflow2,Q2,workflow2_Q2_q1803,1.0,murakkab_profile,15260.092578894628,21337.779324531108,15260.092578894628,16367.202257927245,15260.092578894628,15328.380707252089
workflow2,Q2,workflow2_Q2_q1804,1.0,single_cloud,16562.36080502046,19820.22022956197,16562.36080502046,17994.674022449053,16801.805283880443,16562.36080502046
workflow2,Q2,workflow2_Q2_q1805,1.0,murakkab_profile,13995.489293234486,16729.923963266054,13995.489293234486,15587.609974000581,13995.489293234486,14316.577856167303
workflow2,Q2,workflow2_Q2_q1806,1.0,single_cloud,8797.529057734539,13559.798830561876,8797.529057734539,9280.645259209334,9297.85045507817,8797.529057734539
workflow2,Q2,workflow2_Q2_q1807,1.0,murakkab_profile,5490.3822286770355,8063.433132359733,5490.3822286770355,5961.979109852342,5490.3822286770355,5564.659175000809
workflow2,Q2,workflow2_Q2_q1808,1.0,single_cloud,11001.065082524214,13713.421736762288,11001.065082524214,11911.238683384565,11383.163497397762,11001.065082524214
workflow2,Q2,workflow2_Q2_q1809,1.0,single_cloud,1613.6586501735276,3495.718482846597,1613.6586501735276,1673.1538680746567,1636.3792495179277,1613.6586501735276
workflow2,Q2,workflow2_Q2_q1810,1.0,single_cloud,1829.0640683966853,3209.8524723636965,1829.0640683966853,1961.2643964322322,1939.1802397980796,1829.0640683966853
workflow2,Q2,workflow2_Q2_q1811,1.0,single_cloud,10855.275692984189,17766.77720685778,10855.275692984189,11362.910277172656,10987.36711594709,10855.275692984189
workflow2,Q2,workflow2_Q2_q1812,1.0,single_cloud,2084.7463590283714,4004.309439404461,2084.7463590283714,2190.801872933989,2128.6002599373032,2084.7463590283714
workflow2,Q2,workflow2_Q2_q1813,1.0,murakkab_profile,16734.19852273991,16504.38164515375,16734.19852273991,18538.104365618834,16734.19852273991,16757.850125536457
workflow2,Q2,workflow2_Q2_q1814,1.0,single_cloud,17964.054390906556,23205.178589652416,17964.054390906556,19331.92821770864,18005.328722628634,17964.054390906556
workflow2,Q2,workflow2_Q2_q1815,1.0,single_cloud,15152.394593776457,21171.840798125348,15152.394593776457,16159.484450217911,15458.371854135274,15152.394593776457
workflow2,Q2,workflow2_Q2_q1816,1.0,single_cloud,8726.61724960204,13026.878306974082,8726.61724960204,9268.320428233725,8754.948071936855,8726.61724960204
