workflow,quality_level,query_id,budget_factor,baseline_aggregation,budget_baseline,baseline_p95_selected,baseline_p95_min,baseline_p95_max,sla_sec_old,sla_sec_new,p95_single_cloud,p95_greedy,p95_dpgm,p95_mtgp
workflow1,Q1,workflow1_Q1_q0033,1.0,min,mtgp,6505.627634941516,6505.627634941516,7102.623825518994,8401.10872372743,6505.627634941516,7054.774946892464,7102.623825518994,6548.401248916293,6505.627634941516
workflow1,Q1,workflow1_Q1_q0034,1.0,min,mtgp,3516.8917493843173,3516.8917493843173,3818.0273879052793,5033.628413865232,3516.8917493843173,3759.359840015805,3818.0273879052793,3543.1512198910737,3516.8917493843173
workflow1,Q1,workflow1_Q1_q0035,1.0,min,mtgp,1982.7507850400675,1982.7507850400675,2176.121985025331,3355.909721549958,1982.7507850400675,2134.3017206351706,2176.121985025331,1998.0669827930021,1982.7507850400675
workflow1,Q1,workflow1_Q1_q0036,1.0,min,mtgp,1931.5244304455305,1931.5244304455305,2112.1415695012042,3264.9049595263054,1931.5244304455305,2060.470982071253,2112.1415695012042,1946.7439452842711,1931.5244304455305
workflow1,Q1,workflow1_Q1_q0037,1.0,min,mtgp,5695.011493181975,5695.011493181975,6190.870092481798,7412.048269742141,5695.011493181975,6054.019341151849,6190.870092481798,5742.145641296565,5695.011493181975
workflow1,Q1,workflow1_Q1_q0038,1.0,min,mtgp,6222.239506371718,6222.239506371718,6747.0565530062595,7986.502871797478,6222.239506371718,6697.277571916309,6747.0565530062595,6271.530601543071,6222.239506371718
workflow1,Q1,workflow1_Q1_q0039,1.0,min,mtgp,973.80803562514,973.80803562514,1053.1813881613396,2195.174126172285,973.80803562514,1022.9626158814895,1053.1813881613396,979.5117311802228,973.80803562514
workflow1,Q1,workflow1_Q1_q0040,1.0,min,mtgp,695.7744643876872,695.7744643876872,754.4868328999306,1879.9222133290607,695.7744643876872,723.8287483438745,754.4868328999306,701.164760887367,695.7744643876872
workflow1,Q1,workflow1_Q1_q0041,1.0,min,mtgp,4540.940095729028,4540.940095729028,4920.146581833012,6177.878890305031,4540.940095729028,4910.563819503688,4920.146581833012,4579.221353650289,4540.940095729028
workflow1,Q1,workflow1_Q1_q0042,1.0,min,mtgp,1264.6099765568515,1264.6099765568515,1367.7734340773306,2528.1425542169495,1264.6099765568515,1337.9889337783102,1367.7734340773306,1274.1377237951256,1264.6099765568515
