workflow,quality_level,query_id,budget_factor,baseline_aggregation,budget_baseline,baseline_p95_selected,baseline_p95_min,baseline_p95_max,sla_sec_old,sla_sec_new,p95_single_cloud,p95_greedy,p95_dpgm,p95_mtgp
workflow1,Q1,workflow1_Q1_q0053,1.0,min,dpgm,1497.5677757991575,1497.5677757991575,1596.999491320569,2737.9664308400615,1497.5677757991575,1553.8419955115983,1596.999491320569,1497.5677757991575,1588.9294481471034
workflow1,Q1,workflow1_Q1_q0054,1.0,min,single_cloud,608.4627232744939,608.4627232744939,655.2120891092968,1031.746959309445,608.4627232744939,608.4627232744939,655.2120891092968,616.6485683859825,652.1096951214107
workflow1,Q1,workflow1_Q1_q0055,1.0,min,dpgm,4548.899881211823,4548.899881211823,4938.724418912641,7946.907903863799,4548.899881211823,4874.65341141546,4938.724418912641,4548.899881211823,4909.026107390074
workflow1,Q1,workflow1_Q1_q0056,1.0,min,dpgm,5248.429147435786,5248.429147435786,5673.51551775521,9057.066788932483,5248.429147435786,5603.138593380626,5673.51551775521,5248.429147435786,5637.979727850253
workflow1,Q1,workflow1_Q1_q0057,1.0,min,dpgm,3099.703571958993,3099.703571958993,3333.2188808346605,4655.132270249263,3099.703571958993,3303.738091852064,3333.2188808346605,3099.703571958993,3315.866307337114
workflow1,Q1,workflow1_Q1_q0058,1.0,min,dpgm,2545.4633709635123,2545.4633709635123,2738.8347825963965,4837.662643276758,2545.4633709635123,2694.4906044172926,2738.8347825963965,2545.4633709635123,2722.0421380385674
workflow1,Q1,workflow1_Q1_q0059,1.0,min,dpgm,3891.7598608318153,3891.7598608318153,4228.618476325814,7324.241336827347,3891.7598608318153,4176.406072636948,4228.618476325814,3891.7598608318153,4202.805819644374
workflow1,Q1,workflow1_Q1_q0060,1.0,min,dpgm,6660.174412094199,6660.174412094199,7184.264848076281,10897.21933944298,6660.174412094199,7133.672999706746,7184.264848076281,6660.174412094199,7145.829097434391
workflow1,Q1,workflow1_Q1_q0061,1.0,min,dpgm,6461.474364533832,6461.474364533832,7032.359034613173,10914.900942597696,6461.474364533832,6902.394175272255,7032.359034613173,6461.474364533832,6993.484784930822
workflow1,Q1,workflow1_Q1_q0062,1.0,min,dpgm,520.1344586667727,520.1344586667727,564.2551766850511,781.4277399650887,520.1344586667727,544.6461718186731,564.2551766850511,520.1344586667727,561.9246285067022
workflow1,Q1,workflow1_Q1_q0063,1.0,min,dpgm,1528.5409935528046,1528.5409935528046,1652.9128318469961,2372.841322504275,1528.5409935528046,1618.5343862414,1652.9128318469961,1528.5409935528046,1644.0083664829515
workflow1,Q1,workflow1_Q1_q0064,1.0,min,dpgm,1942.4218904923007,1942.4218904923007,2093.471051166727,3866.4299106893486,1942.4218904923007,2056.5553879159334,2093.471051166727,1942.4218904923007,2082.364306782578
workflow1,Q1,workflow1_Q1_q0065,1.0,min,dpgm,2043.7106178303527,2043.7106178303527,2199.937860571223,3686.9978117581986,2043.7106178303527,2151.543095805852,2199.937860571223,2043.7106178303527,2185.3497726643122
