workflow,quality_level,query_count,eta,calibration_scenarios_per_query,initial_active_fraction,initial_active_strategy,active_batch_fraction,test_scenarios_per_query,calibration_scenario_count,test_scenario_count,method,solver_method,status,reused_last_feasible,objective_value,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,success_rate,solver_runtime_sec,wall_time_sec,max_rss_mb,num_iterations,active_scenario_count,active_scenario_fraction,assignment_signature,error,process_exitcode
workflow2,Q2,200,0.1,50,0.3,qbr,0.05,50,10000,10000,full_milp,full_milp,OPTIMAL,False,8.080233819156499,8.077267636473945,4310.876463495081,8376.138571208625,8966.688403280825,0.0101,0.9899,395.7852555999998,562.7233473000815,7632.3671875,1,10000,1.0,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_eastus_q2""], [""Q/A"", ""q_a_aws_us-east-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow2,Q2,200,0.1,50,0.3,qbr,0.05,50,10000,10000,decomposed_milp,decomposition,OPTIMAL,False,8.08026367031975,8.077267651925272,4310.936402630117,8376.138139288085,8966.763427620852,0.0102,0.9898,422.3294514999725,650.4470729000168,3301.94140625,3,3511,0.3511,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_eastus_q2""], [""Q/A"", ""q_a_anthropic_global_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow2,Q2,400,0.1,50,0.3,qbr,0.05,50,20000,20000,full_milp,full_milp,OPTIMAL,False,8.521491888171816,8.51722538675938,4590.650461601849,8443.278330508685,9077.246067819568,0.01005,0.98995,981.1753916000016,1386.5111839000601,14967.828125,1,20000,1.0,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_eastus_q2""], [""Q/A"", ""q_a_anthropic_global_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-beijing_q2""], [""Video Caption"", ""video_caption_aws_us-east-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow2,Q2,400,0.1,50,0.3,qbr,0.05,50,20000,20000,decomposed_milp,decomposition,OPTIMAL,False,8.52144053990652,8.517224807319037,4585.990012703673,8434.92674315745,9068.59406364326,0.0096,0.9904,1404.4129140001023,2194.4593355999095,5714.8359375,5,7264,0.3632,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_eastus_q2""], [""Q/A"", ""q_a_anthropic_global_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow2,Q2,600,0.1,50,0.3,qbr,0.05,50,30000,30000,full_milp,full_milp,OPTIMAL,False,8.467323018003935,8.462848588124984,4552.612380241972,8439.65846086033,9048.648448035417,0.009166666666666667,0.9908333333333333,1654.4778952000197,2262.5276093999855,17898.73046875,1,30000,1.0,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_eastus_q2""], [""Q/A"", ""q_a_anthropic_global_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow2,Q2,600,0.1,50,0.3,qbr,0.05,50,30000,30000,decomposed_milp,decomposition,OPTIMAL,False,8.467306020337318,8.462848588124984,4552.612380241972,8439.65846086033,9048.648448035417,0.009166666666666667,0.9908333333333333,2962.2287990001496,4367.247156999889,8502.9609375,6,10752,0.3584,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_eastus_q2""], [""Q/A"", ""q_a_anthropic_global_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow2,Q2,800,0.1,50,0.3,qbr,0.05,50,40000,40000,full_milp,full_milp,OPTIMAL,False,8.354105024024136,8.350006376812562,4481.986075481965,8456.750488555981,9062.416672231113,0.008275,0.991725,2346.5110971000977,3154.545510999975,23132.5625,1,40000,1.0,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_eastus_q2""], [""Q/A"", ""q_a_aws_eu-central-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow2,Q2,800,0.1,50,0.3,qbr,0.05,50,40000,40000,decomposed_milp,decomposition,OPTIMAL,False,8.353812229915754,8.350006391939893,4482.042740189592,8456.821104980276,9062.466119082175,0.008325,0.991675,3735.4930621999083,5331.862294699997,12538.7734375,5,16227,0.405675,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_eastus_q2""], [""Q/A"", ""q_a_anthropic_global_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow2,Q2,1000,0.1,50,0.3,qbr,0.05,50,50000,50000,full_milp,full_milp,OPTIMAL,False,8.398836591869156,8.394269558034432,4509.599573992894,8439.655445459517,9050.963081356776,0.0081,0.9919,3121.084922500071,4156.301912300056,25253.82421875,1,50000,1.0,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_eastus_q2""], [""Q/A"", ""q_a_anthropic_global_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-beijing_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow2,Q2,1000,0.1,50,0.3,qbr,0.05,50,50000,50000,decomposed_milp,decomposition,OPTIMAL,False,8.398869648440074,8.394268972862978,4509.542828128673,8439.50445924736,9050.828604785704,0.00806,0.99194,2468.044320099987,3624.2902632999467,13530.61328125,3,17566,0.35132,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_eastus_q2""], [""Q/A"", ""q_a_aws_eu-central-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
