workflow,quality,method,src,dst,src_provider,src_region,dst_provider,dst_region,egress_cost_per_gb,mean_output_mb,network_cost
workflow2,Q1,Murakkab-style,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,155.13790426337408,0.0
workflow2,Q1,Murakkab-style,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,155.13790426337408,0.0
workflow2,Q1,Murakkab-style,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Anthropic,global,0.12,1.040247214301355,0.00012190397042593945
workflow2,Q1,Murakkab-style,Video Caption,Database,Anthropic,global,Aliyun,cn-beijing,0.12,0.0010495698312832631,1.2299646460350903e-07
workflow2,Q1,Murakkab-style,Video Split & Sample,OCR,Aliyun,cn-shanghai,AWS,ap-southeast-1,0.118,1.040247214301355,0.00011987223758550778
workflow2,Q1,Murakkab-style,OCR,Database,AWS,ap-southeast-1,Aliyun,cn-beijing,0.12,0.0020613570616191284,2.4156528065849007e-07
workflow2,Q1,Murakkab-style,Video Split & Sample,Label Detection,Aliyun,cn-shanghai,Aliyun,ap-southeast-1,0.8,1.040247214301355,0.0008126931361729408
workflow2,Q1,Murakkab-style,Label Detection,Database,Aliyun,ap-southeast-1,Aliyun,cn-beijing,0.8,0.008674697184275649,6.777107175215474e-06
workflow2,Q1,Murakkab-style,ClientSource,Speech Transcription,client,local,Aliyun,cn-beijing,0.0,155.13790426337408,0.0
workflow2,Q1,Murakkab-style,Speech Transcription,Database,Aliyun,cn-beijing,Aliyun,cn-beijing,0.0,0.30844903220001185,0.0
workflow2,Q1,Murakkab-style,Database,Q/A,Aliyun,cn-beijing,Anthropic,global,0.12,0.04794306821253062,5.618328306155989e-06
workflow2,Q1,Murakkab-style,Q/A,ClientSink,Anthropic,global,client,local,0.12,0.0038521487224604596,4.5142367841334414e-07
workflow2,Q2,SkyFlow,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,151.47252439151765,0.0
workflow2,Q2,SkyFlow,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,151.47252439151765,0.0
workflow2,Q2,SkyFlow,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Azure,eastus,0.118,2.5313537500018106,0.0002916989672853673
