workflow,quality_level,query_id,budget_factor,best_baseline,baseline_p90_min,sla_sec_old,sla_sec_new,p90_greedy,p90_logical_optimal,p90_single_cloud
workflow1,Q2,workflow1_Q2_q0027,1.25,single_cloud,40.786648702650005,44.86531357291501,50.98331087831251,42.39047574315983,47.9519818497268,40.786648702650005
workflow1,Q2,workflow1_Q2_q0028,1.25,single_cloud,36.99278838801259,40.692067226813855,46.24098548501574,39.75714536623222,45.12574990361282,36.99278838801259
workflow1,Q2,workflow1_Q2_q0029,1.25,single_cloud,43.28429044847735,47.61271949332509,54.10536306059669,44.11958635195215,50.15621591252047,43.28429044847735
workflow1,Q2,workflow1_Q2_q0030,1.25,greedy,93.65474016919538,103.02021418611491,117.06842521149423,93.65474016919538,107.29803483009024,108.89677153262807
workflow1,Q2,workflow1_Q2_q0031,1.25,greedy,56.23288387443977,61.85617226188376,70.29110484304971,56.23288387443977,64.09871511215924,60.654552434046415
workflow1,Q2,workflow1_Q2_q0032,1.25,greedy,85.28132490226447,93.80945739249093,106.6016561278306,85.28132490226447,96.45911497393507,95.57127389042837
workflow1,Q2,workflow1_Q2_q0033,1.25,greedy,68.47646843782893,75.32411528161182,85.59558554728616,68.47646843782893,77.42488469834692,74.29913799749438
workflow1,Q2,workflow1_Q2_q0034,1.25,greedy,69.21682060753697,76.13850266829068,86.52102575942122,69.21682060753697,79.13503417830043,76.31522146762381
workflow1,Q2,workflow1_Q2_q0035,1.25,single_cloud,34.82675882887228,38.30943471175951,43.53344853609035,35.229164085675414,40.435035115557525,34.82675882887228
workflow1,Q2,workflow1_Q2_q0036,1.25,greedy,86.9170571086194,95.60876281948136,108.64632138577426,86.9170571086194,101.04867858810779,104.65039583336535
workflow1,Q2,workflow1_Q2_q0037,1.25,greedy,46.58281215680557,51.241093372486134,58.22851519600697,46.58281215680557,54.02300573178141,50.102110762220875
workflow1,Q2,workflow1_Q2_q0038,1.25,greedy,66.59604061419137,73.25564467561051,83.2450507677392,66.59604061419137,76.7162260110944,76.01077892906733
workflow1,Q2,workflow1_Q2_q0039,1.25,greedy,76.23536321085884,83.85889953194473,95.29420401357355,76.23536321085884,88.23010216035007,88.07741861216103
workflow1,Q2,workflow1_Q2_q0040,1.25,greedy,73.48074819491913,80.82882301441104,91.8509352436489,73.48074819491913,84.10058137293687,82.85739593814895
workflow1,Q2,workflow1_Q2_q0041,1.25,greedy,78.12812461301554,85.9409370743171,97.66015576626943,78.12812461301554,90.19315829680163,92.11513759813585
