run_id,feature,index,image_name,image_path,gcs_uri,image_size_bytes,width,height,upload_sec,start_utc,end_utc,execution_time_sec,success,detection_count,error_message
20260606_122418_bcaf80fe,label,31,frame_031_idx07467.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_031_idx07467.jpg,gs://skyflow-ae/frames_sample/frame_031_idx07467.jpg,581858,3840,2160,1.353307,2026-06-06T12:29:37.372879+00:00,2026-06-06T12:29:40.562950+00:00,3.186675,1,10,
20260606_122418_bcaf80fe,label,32,frame_032_idx07623.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_032_idx07623.jpg,gs://skyflow-ae/frames_sample/frame_032_idx07623.jpg,1962708,3840,2160,2.234463,2026-06-06T12:29:40.563854+00:00,2026-06-06T12:29:44.198535+00:00,3.631365,1,10,
20260606_122418_bcaf80fe,label,33,frame_033_idx07628.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_033_idx07628.jpg,gs://skyflow-ae/frames_sample/frame_033_idx07628.jpg,1942007,3840,2160,1.865744,2026-06-06T12:29:44.198708+00:00,2026-06-06T12:29:48.744885+00:00,4.543000,1,10,
20260606_122418_bcaf80fe,label,34,frame_034_idx08024.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_034_idx08024.jpg,gs://skyflow-ae/frames_sample/frame_034_idx08024.jpg,578689,3840,2160,1.080078,2026-06-06T12:29:48.745367+00:00,2026-06-06T12:29:51.887427+00:00,3.140354,1,10,
20260606_122418_bcaf80fe,label,35,frame_035_idx08667.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_035_idx08667.jpg,gs://skyflow-ae/frames_sample/frame_035_idx08667.jpg,1364749,3840,2160,1.965412,2026-06-06T12:29:51.887588+00:00,2026-06-06T12:29:55.360907+00:00,3.471810,1,10,
20260606_122418_bcaf80fe,label,36,frame_036_idx09012.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_036_idx09012.jpg,gs://skyflow-ae/frames_sample/frame_036_idx09012.jpg,522373,3840,2160,1.324212,2026-06-06T12:29:55.361039+00:00,2026-06-06T12:29:59.518146+00:00,4.155713,1,10,
20260606_122418_bcaf80fe,label,37,frame_037_idx09105.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_037_idx09105.jpg,gs://skyflow-ae/frames_sample/frame_037_idx09105.jpg,470762,3840,2160,1.346659,2026-06-06T12:29:59.518244+00:00,2026-06-06T12:30:02.608779+00:00,3.089726,1,10,
20260606_122418_bcaf80fe,label,38,frame_038_idx09108.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_038_idx09108.jpg,gs://skyflow-ae/frames_sample/frame_038_idx09108.jpg,466020,3840,2160,1.556727,2026-06-06T12:30:02.608893+00:00,2026-06-06T12:30:05.732253+00:00,3.122702,1,10,
20260606_122418_bcaf80fe,label,39,frame_039_idx09115.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_039_idx09115.jpg,gs://skyflow-ae/frames_sample/frame_039_idx09115.jpg,468494,3840,2160,1.079456,2026-06-06T12:30:05.732344+00:00,2026-06-06T12:30:09.898821+00:00,4.165801,1,10,
20260606_122418_bcaf80fe,label,40,frame_040_idx09482.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_040_idx09482.jpg,gs://skyflow-ae/frames_sample/frame_040_idx09482.jpg,358481,3840,2160,1.186287,2026-06-06T12:30:09.898915+00:00,2026-06-06T12:30:13.855159+00:00,3.955766,1,7,
20260606_122418_bcaf80fe,label,41,frame_041_idx09606.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_041_idx09606.jpg,gs://skyflow-ae/frames_sample/frame_041_idx09606.jpg,199519,3840,2160,1.049973,2026-06-06T12:30:13.855284+00:00,2026-06-06T12:30:17.774499+00:00,3.918863,1,7,
20260606_122418_bcaf80fe,label,42,frame_042_idx11029.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_042_idx11029.jpg,gs://skyflow-ae/frames_sample/frame_042_idx11029.jpg,592189,3840,2160,1.077247,2026-06-06T12:30:17.774615+00:00,2026-06-06T12:30:21.958113+00:00,4.183227,1,7,
20260606_122418_bcaf80fe,label,43,frame_043_idx11149.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_043_idx11149.jpg,gs://skyflow-ae/frames_sample/frame_043_idx11149.jpg,261633,3840,2160,1.090339,2026-06-06T12:30:21.958198+00:00,2026-06-06T12:30:25.860385+00:00,3.902008,1,10,
20260606_122418_bcaf80fe,label,44,frame_044_idx11270.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_044_idx11270.jpg,gs://skyflow-ae/frames_sample/frame_044_idx11270.jpg,385295,3840,2160,1.262881,2026-06-06T12:30:25.860473+00:00,2026-06-06T12:30:29.935452+00:00,4.074850,1,8,
